"L1","L2","L3","L4a","L4b","L5","impact_category","q025","q25","q50","q75","q975"
0.5,0,0,0,0,0,"impact potential/smog/kg o3 eq",41939337369.5623,43074802303.4594,43530180865.3755,44056503339.8369,45547937600.3218
0.5,0,0,0,0,0,"resource use/enrg/mj",10239852765918.5,10603618444712.7,10797263156622,11019337257193.4,11335156095761.1
0.5,0,0,0,0,0,"resource use/land/m2*yr",3438206014337.23,3456134402836.99,3466991040421.72,3476430775256.55,3500455753467.49
0.5,0,0,0,0,0,"resource use/mine/kg",133889389440.767,138017650330.936,139994759802.925,142033061143.268,145391478662.848
0.5,0,0,0,0,0,"resource use/nren/mj",8778350609826.22,9110290862101.62,9290547239825.05,9492042205903.58,9790323595378.75
0.5,0,0,0,0,0,"resource use/ren/mj",1466163461772.62,1493869622538.58,1505907121377.32,1527108518857.61,1557775455118.35
0.5,0,0,0,0,0,"resource use/watr/m3",128558093793.182,129431732723.658,129991872469.047,130629088031.9,132139557548.38
0.5,0,0,0,0,0.5,"chemical releases/haps/kg",151389060.706771,155744085.429209,157862651.094962,160695253.639723,166089173.3871
0.5,0,0,0,0,0.5,"chemical releases/metl/kg",1303007.04578794,1347019.48229048,1373650.81836264,1399496.21570332,1443525.39773232
0.5,0,0,0,0,0.5,"chemical releases/pest/kg",74773552.0444778,75837811.9249758,76355958.1785497,76744948.4119421,77746773.5366022
0.5,0,0,0,0,0.5,"economic & social/jobs/jobs",25059649.6827737,25690337.8080878,26017491.4351402,26381209.1065635,26802664.9415285
0.5,0,0,0,0,0.5,"economic & social/vadd/$",1677517871346.69,1743878103082.01,1771941001557.67,1808983702994.58,1884934160652.11
0.5,0,0,0,0,0.5,"impact potential/acid/kg so2 eq",6121268531.78123,6213233836.25493,6241731971.62889,6269339586.32729,6342841913.77427
0.5,0,0,0,0,0.5,"impact potential/etox/ctue",2356315141602.61,2390549400239.27,2404984672060.42,2418245021284.52,2449884403961.27
0.5,0,0,0,0,0.5,"impact potential/eutr/kg n eq",2784350239.30256,2812390348.4721,2825166135.28674,2838839745.42311,2868695643.64571
0.5,0,0,0,0,0.5,"impact potential/gcc/kg co2 eq",1026904770230.47,1048752595130.93,1055645994877.05,1062014167879.14,1081509402273.5
0.5,0,0,0,0,0.5,"impact potential/hc/ctuh",178.638312329839,183.861711787417,185.923043122652,187.851772319001,193.033365932741
0.5,0,0,0,0,0.5,"impact potential/hnc/ctuh",935.777484041179,964.419436538233,973.696632614165,985.070117989517,1012.65620863132
0.5,0,0,0,0,0.5,"impact potential/hrsp/kg pm2.5 eq",1200099264.568,1211294420.05915,1216925554.88629,1221392081.70077,1236501771.43484
0.5,0,0,0,0,0.5,"impact potential/htox/ctuh",1114.46623447624,1148.31013406963,1159.72156402774,1172.89358110125,1206.14743100633
0.5,0,0,0,0,0.5,"impact potential/ozon/kg cfc11 eq",315061.268165869,320980.699410271,324139.103246653,327180.658267603,334191.657872003
0.5,0,0,0,0,0.5,"impact potential/smog/kg o3 eq",40959065385.6693,42068743573.9365,42525828813.6098,43086723190.091,44366878300.5278
