"BEA_389_code","BEA_389_def","Location","2012_US_Consumption","2012_US_Production"
"624400","Child day care","US",48434387643.0248,48434387643.0248
"624A00","Community food, housing, and other relief services, including rehabilitation services","US",45016543450.8278,45016543450.8278
"711100","Performances","US",23942340233.9181,24072642807.0175
"711200","Sports","US",16194950878.1637,16225597981.3205
"711500","Independent artists, writers, and performers","US",636084263.318084,981473966.80768
"711A00","Promoters and agents","US",11539543353.928,11885056973.1632
"712000","Museums, historical sites, zoos, and parks","US",14622362086.482,14622362086.482
"713100","Amusement parks and arcades","US",12000137472.5851,12000137472.5851
"713200","Gambling establishments (except casino hotels)","US",91163286601.5972,91163286601.5972
"713900","Golf courses, marinas, ski resorts, fitness and other rec centers and industries","US",62117139799.8671,62117139799.8671
"721000","Hotels and campgrounds","US",126371195839.564,126371195839.564
"722110","Full-service restaurants","US",218415854366.736,219323956111.169
"722211","Limited-service restaurants","US",277764236035.542,278635578024.016
"722A00","All other food and drinking places","US",86752253831.364,87069446715.5737
"811100","Vehicle repair","US",140221748498.713,140266438423.411
"811200","Electronic  equipment repair and maintenance","US",5020072996.56176,5024147731.13689
"811300","Commercial machinery repair","US",0,15378696.3969783
"811400","Household goods repair","US",18271745423.9241,14775692452.2448
"812100","Salons and barber shops","US",68834681961.2963,68834681961.2963
"812200","Funerary services","US",19753101616.173,19753101616.173
"812300","Dry-cleaning and laundry","US",12109510726.8925,12109510726.8925
"812900","Pet care, photofinishing, parking and other sundry services","US",57627712897.8861,57627712897.8861
"813100","Religious organizations","US",85347656393.3526,85347656393.3526
"813A00","Grantmaking, giving, and social advocacy organizations","US",45043212476.5391,45043212476.5391
"813B00","Civic, social, professional, and similar organizations","US",56420987298.9467,56679302713.1095
"814000","Household employees","US",17633227095.4977,17633227095.4977
"S00102","Other federal government enterprises","US",0,0
"S00203","Other state and local government enterprises","US",60129449042.7647,60129449042.7647
"S00300","Noncomparable imports","US",101680863476.352,-118655813987.602
"S00402","Used and secondhand goods","US",-31653884785.9874,-15371479903.0998
"S00500","Federal general government (defense)","US",654886881362.272,654886881362.272
"S00600","Federal general government (nondefense)","US",354888652906.369,354888652906.369
"S00700","State and local general government","US",1548287012524.56,1548287012524.56
"S00900","Rest of the world adjustment","US",-168176364969.826,2938011089.08235
